Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),141.25,0.00,174.02,,,,,,150.23,,152.93,153.49,154.35,29.82
Active Decode Throughput Per User (tokens/sec/user),18.76,0.00,32.86,,,,,,18.83,,19.23,20.96,21.53,1.62
Active Prefill Throughput (tokens/sec),1175.70,129.97,1210.07,,,,,,1205.43,,1209.56,1210.07,1210.07,95.09
Active Prefill Throughput Per User (tokens/sec/user),156.95,129.97,494.03,,,,,,150.75,,151.26,151.26,493.06,53.51
Active Total Throughput (tokens/sec),482.46,21.10,1210.07,,,,,,149.15,,1207.42,1209.56,1210.07,489.55
Decode Duration (error-adjusted) (ms),,5972.41,,,5973.13,6735.67,6741.72,6752.00,6767.47,6777.00,6789.85,6800.45,,
Inter Token Latency (error-adjusted) (ms),,47.40,,,47.41,53.46,53.51,53.59,53.71,53.79,53.97,54.08,,
Request Latency (error-adjusted) (ms),,7008.79,,,7013.60,10147.47,10149.19,10152.02,10162.88,10177.66,10228.44,10738.94,,
Time to First Token (error-adjusted) (ms),,1036.38,,,1040.47,3370.91,3376.80,3384.79,3401.44,3421.17,3484.15,3938.49,,
Credit-to-Start Latency (ms),2.23,0.77,3.94,223.42,0.99,1.05,1.32,1.69,2.22,2.74,3.16,3.21,3.44,0.69
Decode Duration (ms),6750.26,5972.41,6814.24,661525.44,5973.11,6735.50,6741.65,6751.58,6766.44,6776.81,6789.06,6800.25,6813.69,113.67
E2E Output Token Throughput (tokens/sec/user),12.55,11.82,18.12,1229.91,11.82,11.84,12.41,12.48,12.49,12.51,12.51,12.52,18.11,0.82
Effective Concurrency,7.67,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.36
Effective Decode Concurrency,5.10,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.77
Effective Decode Throughput (tokens/sec),95.26,0.00,174.02,,,,,,148.79,,152.51,153.14,154.23,70.57
Effective Decode Throughput Per User (tokens/sec/user),12.65,0.00,32.86,,,,,,18.65,,19.14,19.31,21.43,8.89
Effective Latency (CO-aware) (ms),9947.76,3.98,10750.04,994776.14,5.59,10150.18,10151.25,10152.99,10163.09,10179.00,10228.39,10725.79,10749.08,1497.40
Effective Prefill Concurrency,2.57,0.00,8.00,,,,,,0.00,,8.00,8.00,8.00,3.72
Effective Prefill Throughput (tokens/sec),387.18,0.00,1210.07,,,,,,0.00,,1207.42,1209.56,1210.07,555.23
Effective Prefill Throughput Per User (tokens/sec/user),51.69,0.00,494.03,,,,,,0.00,,150.93,151.20,151.26,79.90
Effective Total Throughput (tokens/sec),482.44,0.00,1210.07,,,,,,149.15,,1207.42,1209.56,1210.07,489.55
Error Input Sequence Length (tokens),512.00,512.00,512.00,1024.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.47,126.00,131.00,12786.00,127.94,130.00,130.00,130.00,131.00,131.00,131.00,131.00,131.00,0.73
HTTP Chunks Sent,1.00,1.00,1.00,98.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.50,0.23,2.70,48.87,0.24,0.28,0.32,0.35,0.39,0.45,0.60,1.14,2.46,0.42
HTTP Connection Overhead (ms),0.56,0.23,4.35,55.01,0.24,0.28,0.32,0.35,0.39,0.45,0.60,1.14,4.05,0.72
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.57,40.25,41.66,4073.80,40.61,41.52,41.54,41.57,41.60,41.62,41.63,41.64,41.65,0.17
HTTP Data Sent (KB),2.30,2.00,2.51,225.28,2.04,2.15,2.16,2.24,2.31,2.36,2.41,2.46,2.49,0.10
