Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),37.00,0.00,88.72,,,,,,36.87,,39.38,41.11,44.07,2.45
Active Decode Throughput Per User (tokens/sec/user),37.00,0.00,88.72,,,,,,36.87,,39.38,41.11,44.07,2.45
Active Prefill Throughput (tokens/sec),917.73,534.49,963.18,,,,,,925.26,,933.81,936.93,961.60,52.76
Active Prefill Throughput Per User (tokens/sec/user),917.73,534.49,963.18,,,,,,925.26,,933.81,936.93,961.60,52.76
Active Total Throughput (tokens/sec),160.58,31.78,963.18,,,,,,37.08,,921.53,928.80,935.66,306.53
Credit-to-Start Latency (ms),0.05,0.00,1.75,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.35,0.75,0.20
Decode Duration (ms),3417.87,1998.91,3996.21,341787.04,2891.44,3157.19,3336.98,3399.08,3430.66,3507.48,3558.05,3595.73,3615.57,202.72
E2E Output Token Throughput (tokens/sec/user),32.10,28.16,37.29,3210.12,29.12,30.70,31.04,31.48,32.13,32.40,32.79,34.15,36.99,1.33
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.86,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),31.80,0.00,88.72,,,,,,36.54,,39.11,40.59,44.03,13.06
Effective Decode Throughput Per User (tokens/sec/user),31.80,0.00,88.72,,,,,,36.54,,39.11,40.59,44.03,13.06
Effective Latency (CO-aware) (ms),3973.64,2581.23,4540.37,397363.72,3419.71,3718.57,3905.75,3947.37,3981.27,4059.22,4112.31,4154.12,4396.23,206.76
Effective Prefill Concurrency,0.14,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Prefill Throughput (tokens/sec),128.72,0.00,963.18,,,,,,0.00,,921.53,928.80,935.66,319.30
Effective Prefill Throughput Per User (tokens/sec/user),128.72,0.00,963.18,,,,,,0.00,,921.53,928.80,935.66,319.30
Effective Total Throughput (tokens/sec),160.52,0.00,963.18,,,,,,37.08,,921.53,928.80,935.66,306.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.82,79.00,132.00,13082.00,126.52,131.00,131.00,131.00,131.00,132.00,132.00,132.00,132.00,5.27
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.37,0.31,1.52,36.53,0.32,0.32,0.32,0.33,0.34,0.36,0.38,0.41,0.82,0.13
HTTP Connection Overhead (ms),0.38,0.31,2.54,37.97,0.32,0.32,0.32,0.33,0.34,0.36,0.38,0.41,1.25,0.24
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.42,24.55,41.75,4142.27,39.78,41.52,41.57,41.60,41.63,41.66,41.68,41.70,41.75,1.71
