Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),41.59,0.00,88.58,,,,,,43.13,,44.01,44.17,44.36,3.48
Active Decode Throughput Per User (tokens/sec/user),41.59,0.00,88.58,,,,,,43.13,,44.01,44.17,44.36,3.48
Active Prefill Throughput (tokens/sec),942.13,855.05,966.85,,,,,,958.01,,965.98,966.85,966.85,35.37
Active Prefill Throughput Per User (tokens/sec/user),942.13,855.05,966.85,,,,,,958.01,,965.98,966.85,966.85,35.37
Active Total Throughput (tokens/sec),182.73,34.82,966.85,,,,,,43.17,,953.69,961.04,966.85,327.70
Credit-to-Start Latency (ms),0.34,0.04,0.73,3.38,0.05,0.06,0.07,0.16,0.32,0.45,0.66,0.70,0.73,0.22
Decode Duration (ms),2921.21,1789.32,3647.48,29212.07,1888.49,2285.15,2780.98,2922.41,2941.74,3010.31,3219.83,3433.65,3604.71,434.35
E2E Output Token Throughput (tokens/sec/user),35.40,30.38,37.12,353.96,30.55,31.24,32.11,34.83,36.63,36.83,36.96,37.04,37.10,2.20
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.84,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),35.05,0.00,88.58,,,,,,42.95,,43.95,44.15,44.34,15.47
Effective Decode Throughput Per User (tokens/sec/user),35.05,0.00,88.58,,,,,,42.95,,43.95,44.15,44.34,15.47
Effective Latency (CO-aware) (ms),3467.82,2350.35,4213.39,34678.17,2449.20,2844.59,3338.83,3466.73,3476.32,3554.72,3759.63,3986.51,4168.01,433.09
Effective Prefill Concurrency,0.16,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),147.60,0.00,966.85,,,,,,0.00,,953.69,961.04,966.85,342.73
Effective Prefill Throughput Per User (tokens/sec/user),147.60,0.00,966.85,,,,,,0.00,,953.69,961.04,966.85,342.73
Effective Total Throughput (tokens/sec),182.65,0.00,966.85,,,,,,43.17,,953.69,961.04,966.85,327.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.10,79.00,132.00,1261.00,83.68,102.40,125.80,131.00,131.00,131.75,132.00,132.00,132.00,15.71
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.32,1.53,4.81,0.33,0.33,0.34,0.35,0.36,0.39,0.53,1.03,1.43,0.35
HTTP Connection Overhead (ms),0.58,0.32,2.56,5.84,0.33,0.33,0.34,0.35,0.36,0.39,0.63,1.59,2.37,0.66
