Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),20.89,0.00,45.55,,,,,,20.91,,21.44,22.10,22.64,0.67
Active Decode Throughput Per User (tokens/sec/user),20.89,0.00,45.55,,,,,,20.91,,21.44,22.10,22.64,0.67
Active Prefill Throughput (tokens/sec),674.57,664.16,679.69,,,,,,675.48,,676.76,677.31,679.69,3.09
Active Prefill Throughput Per User (tokens/sec/user),674.57,664.16,679.69,,,,,,675.48,,676.76,677.31,679.69,3.09
Active Total Throughput (tokens/sec),456.53,19.33,679.69,,,,,,673.37,,675.92,677.31,679.69,308.22
Credit-to-Start Latency (ms),28.18,0.75,30.77,563.60,4.84,21.21,28.52,29.56,29.90,30.36,30.65,30.70,30.76,6.53
Decode Duration (ms),6078.19,5793.95,6571.70,121563.80,5818.06,5914.50,5941.42,6058.44,6080.03,6103.57,6120.38,6146.27,6486.61,138.37
E2E Output Token Throughput (tokens/sec/user),7.02,6.82,7.14,140.44,6.84,6.94,6.97,7.01,7.02,7.05,7.09,7.10,7.13,0.06
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.33,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.47
Effective Decode Throughput (tokens/sec),6.96,0.00,45.55,,,,,,0.00,,21.11,21.31,22.39,9.85
Effective Decode Throughput Per User (tokens/sec/user),6.96,0.00,45.55,,,,,,0.00,,21.11,21.31,22.39,9.85
Effective Latency (CO-aware) (ms),18250.35,17951.22,18801.86,365007.00,17974.01,18065.19,18075.00,18187.62,18250.26,18270.65,18371.19,18435.88,18728.66,163.34
Effective Prefill Concurrency,0.67,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.47
Effective Prefill Throughput (tokens/sec),449.43,0.00,679.69,,,,,,673.37,,675.92,677.31,679.69,318.11
Effective Prefill Throughput Per User (tokens/sec/user),449.43,0.00,679.69,,,,,,673.37,,675.92,677.31,679.69,318.11
Effective Total Throughput (tokens/sec),456.40,0.00,679.69,,,,,,673.37,,675.92,677.31,679.69,308.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,136.00,136.00,136.00,2720.00,136.00,136.00,136.00,136.00,136.00,136.00,136.00,136.00,136.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.34,6.74,21.37,0.36,0.43,0.50,0.56,0.60,0.64,1.74,3.57,6.10,1.45
HTTP Connection Overhead (ms),1.43,0.34,12.97,28.68,0.36,0.43,0.50,0.56,0.60,0.64,2.70,3.88,11.15,2.75
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.72,41.65,41.80,834.46,41.65,41.66,41.67,41.69,41.72,41.75,41.79,41.79,41.80,0.04
HTTP Data Sent (KB),34.82,32.23,37.12,696.47,32.46,33.37,33.48,34.12,34.81,35.55,35.88,36.55,37.01,1.09
HTTP DNS Lookup (ms),0.37,0.00,6.23,7.30,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.33,5.25,1.37
HTTP Duration (excl. conn) (ms),18222.04,17921.55,18772.18,364440.76,17944.14,18034.48,18044.56,18157.52,18220.51,18240.40,18351.01,18433.63,18704.47,165.33
HTTP Receiving (ms),16210.64,15917.81,16762.64,324212.76,15941.44,16035.97,16051.84,16168.11,16220.85,16237.27,16270.56,16317.25,16673.56,154.87
HTTP Sending (ms),1.35,0.51,7.02,26.95,0.52,0.55,0.71,0.83,0.89,0.95,1.92,4.14,6.44,1.48
HTTP Total Time (ms),18223.47,17934.52,18772.82,364469.44,17954.75,18035.66,18045.11,18158.14,18221.09,18240.92,18351.58,18436.16,18705.49,164.40
HTTP Waiting (TTFB) (ms),2010.05,1986.41,2193.23,40201.05,1986.94,1989.04,1991.10,1994.38,1997.05,2002.97,2014.10,2056.69,2165.92,43.90
Input Sequence Length (tokens),8192.00,8192.00,8192.00,163840.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Inter Chunk Latency (ms),47.86,40.86,59.15,121563.80,44.14,45.16,46.56,47.20,47.79,48.35,49.28,50.70,53.19,1.54
Inter Token Latency (ms),47.88,45.62,51.75,957.57,45.81,46.57,46.78,47.70,47.91,48.12,48.21,48.40,51.08,1.09
