Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),38.66,0.00,80.36,,,,,,43.85,,44.48,44.78,45.08,12.64
Active Decode Throughput Per User (tokens/sec/user),20.75,0.00,80.36,,,,,,21.96,,22.42,31.97,38.42,6.77
Active Prefill Throughput (tokens/sec),671.55,299.85,1200.88,,,,,,583.55,,1034.29,1035.41,1117.13,227.56
Active Prefill Throughput Per User (tokens/sec/user),539.62,299.85,887.11,,,,,,517.01,,690.43,730.44,749.87,101.47
Active Total Throughput (tokens/sec),183.77,19.85,1200.88,,,,,,42.85,,633.46,951.91,1035.41,285.88
Credit-to-Start Latency (ms),0.32,0.00,1.79,31.81,0.00,0.00,0.00,0.02,0.21,0.44,0.60,1.32,1.75,0.39
Decode Duration (ms),5935.89,2388.95,6397.78,593588.79,3892.03,5672.83,5765.67,5799.16,5997.93,6193.48,6261.15,6272.41,6296.86,459.85
E2E Output Token Throughput (tokens/sec/user),18.49,15.98,28.54,1848.77,16.85,17.36,17.49,17.91,18.58,18.86,18.89,19.22,20.33,1.21
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.12
Effective Decode Concurrency,1.71,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.57
Effective Decode Throughput (tokens/sec),36.35,0.00,80.36,,,,,,43.82,,44.44,44.75,45.07,15.30
Effective Decode Throughput Per User (tokens/sec/user),19.51,0.00,80.36,,,,,,21.94,,22.40,29.36,38.39,8.20
Effective Latency (CO-aware) (ms),6900.35,3433.38,7534.14,690034.61,4473.68,6647.47,6773.02,6787.63,6876.98,7142.82,7314.22,7364.27,7533.64,487.58
Effective Prefill Concurrency,0.28,0.00,2.00,,,,,,0.00,,1.00,2.00,2.00,0.56
Effective Prefill Throughput (tokens/sec),147.41,0.00,1200.88,,,,,,0.00,,612.55,951.91,1035.41,297.71
Effective Prefill Throughput Per User (tokens/sec/user),118.45,0.00,887.11,,,,,,0.00,,517.58,601.21,730.44,228.36
Effective Total Throughput (tokens/sec),183.76,0.00,1200.88,,,,,,42.85,,633.46,951.91,1035.41,285.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.81,58.00,132.00,13081.00,126.31,131.00,131.00,131.00,132.00,132.00,132.00,132.00,132.00,7.35
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.25,1.97,42.94,0.29,0.32,0.35,0.36,0.39,0.41,0.44,0.64,1.80,0.22
HTTP Connection Overhead (ms),0.46,0.25,3.33,46.19,0.29,0.32,0.35,0.36,0.39,0.41,0.44,0.64,3.00,0.41
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.37,17.78,41.77,4137.34,40.06,41.54,41.57,41.60,41.63,41.66,41.68,41.70,41.75,2.38
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.03,0.00,1.36,3.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.18
HTTP Duration (excl. conn) (ms),6900.00,3432.79,7532.87,690000.43,4473.85,6646.71,6772.46,6787.64,6876.72,7142.64,7313.71,7363.71,7532.37,487.53
HTTP Receiving (ms),6123.07,2614.46,6567.84,612307.23,4016.28,5872.31,5956.12,5968.57,6213.67,6339.62,6454.90,6472.08,6497.57,459.26
HTTP Sending (ms),0.54,0.35,2.21,54.22,0.38,0.41,0.44,0.47,0.49,0.51,0.55,0.78,2.05,0.26
HTTP Total Time (ms),6900.47,3433.13,7535.86,690046.62,4474.24,6647.11,6772.85,6787.96,6877.11,7143.02,7314.10,7364.13,7535.70,487.61
HTTP Waiting (TTFB) (ms),776.39,453.44,1310.37,77638.98,482.96,493.58,543.38,628.80,818.37,847.19,985.38,1053.74,1310.36,174.15
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),47.04,23.89,468.06,593588.79,26.03,34.34,44.65,45.23,45.50,45.73,45.99,46.32,65.46,29.44
Inter Token Latency (ms),47.01,30.77,50.38,4700.59,43.21,44.78,45.40,45.67,47.19,48.77,49.30,49.47,49.77,2.30
OSL Mismatch Diff % (%),-0.59,-57.81,1.56,-58.59,-2.12,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.79,5.76
Output Sequence Length (tokens),127.25,54.00,130.00,12725.00,125.28,127.95,128.00,128.00,128.00,128.00,128.00,128.00,129.01,7.37
Output Token Count (tokens),127.25,54.00,130.00,12725.00,125.28,127.95,128.00,128.00,128.00,128.00,128.00,128.00,129.01,7.37
Output Token Throughput Per User (tokens/sec/user),21.34,19.85,32.50,2133.80,20.09,20.21,20.28,20.51,21.19,21.90,22.03,22.33,23.17,1.34
Prefill Throughput Per User (tokens/sec/user),551.77,299.85,887.11,55177.43,299.98,409.45,430.66,500.39,517.14,642.07,704.55,730.86,751.24,107.20
Request Latency (ms),6899.45,3378.28,7532.96,689944.95,4473.31,6646.72,6772.48,6787.68,6876.73,7142.68,7313.73,7363.76,7532.46,491.42
