Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),82.15,0.00,106.27,,,,,,83.38,,84.31,84.48,84.76,6.53
Active Decode Throughput Per User (tokens/sec/user),20.55,0.00,26.57,,,,,,20.84,,21.08,21.12,21.19,1.56
Active Prefill Throughput (tokens/sec),1134.77,258.72,1150.57,,,,,,1146.68,,1148.81,1150.06,1150.57,65.59
Active Prefill Throughput Per User (tokens/sec/user),284.99,258.72,288.32,,,,,,286.67,,287.20,287.51,287.64,5.78
Active Total Throughput (tokens/sec),321.93,17.67,1150.57,,,,,,82.96,,1146.78,1147.63,1150.06,442.50
Credit-to-Start Latency (ms),2.75,1.05,6.28,274.53,1.08,1.13,1.22,1.62,2.62,3.65,4.27,4.53,5.94,1.24
Decode Duration (ms),6128.26,6059.74,7131.46,612825.97,6061.96,6064.73,6067.33,6071.51,6077.62,6086.42,6101.87,6294.38,7130.78,207.90
E2E Output Token Throughput (tokens/sec/user),16.03,14.22,16.18,1603.21,14.22,15.73,15.76,16.12,16.15,16.16,16.17,16.17,16.18,0.39
Effective Concurrency,3.33,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.49
Effective Decode Concurrency,2.57,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.91
Effective Decode Throughput (tokens/sec),52.93,0.00,106.27,,,,,,82.70,,84.16,84.38,84.70,39.67
Effective Decode Throughput Per User (tokens/sec/user),13.24,0.00,26.57,,,,,,20.67,,21.04,21.09,21.18,9.92
Effective Latency (CO-aware) (ms),7927.65,7853.05,8937.93,792764.57,7853.12,7858.12,7858.55,7861.26,7865.42,7874.67,8058.78,8080.23,8937.86,213.50
Effective Prefill Concurrency,0.75,0.00,4.00,,,,,,0.00,,4.00,4.00,4.00,1.56
Effective Prefill Throughput (tokens/sec),215.13,0.00,1150.57,,,,,,0.00,,1146.15,1147.58,1150.06,445.71
Effective Prefill Throughput Per User (tokens/sec/user),54.03,0.00,288.32,,,,,,0.00,,286.54,286.90,287.51,111.73
Effective Total Throughput (tokens/sec),268.06,0.00,1150.57,,,,,,82.92,,1146.15,1147.58,1150.06,421.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.09,128.00,131.00,13009.00,128.99,129.95,130.00,130.00,130.00,130.00,131.00,131.00,131.00,0.47
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.42,0.24,2.17,42.48,0.26,0.27,0.28,0.32,0.36,0.38,0.49,0.59,2.12,0.33
HTTP Connection Overhead (ms),0.48,0.24,3.49,47.58,0.26,0.27,0.28,0.32,0.36,0.38,0.49,0.59,3.43,0.58
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.58,40.91,41.69,4158.20,41.30,41.54,41.54,41.57,41.59,41.61,41.63,41.63,41.66,0.08
HTTP Data Sent (KB),2.29,1.96,2.52,228.88,2.06,2.16,2.18,2.23,2.28,2.35,2.41,2.44,2.48,0.10
