Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),45.17,0.00,69.65,,,,,,45.51,,45.89,45.97,46.13,1.77
Active Decode Throughput Per User (tokens/sec/user),22.59,0.00,34.83,,,,,,22.76,,22.94,22.99,23.06,0.86
Active Prefill Throughput (tokens/sec),1040.31,451.49,1054.45,,,,,,1046.04,,1050.57,1052.25,1054.45,30.33
Active Prefill Throughput Per User (tokens/sec/user),520.57,451.49,527.32,,,,,,523.02,,525.29,526.13,527.23,11.09
Active Total Throughput (tokens/sec),194.49,21.06,1054.45,,,,,,45.34,,1044.12,1047.28,1051.60,355.57
Credit-to-Start Latency (ms),4.04,1.02,7.41,404.36,1.07,1.15,1.40,2.32,3.99,5.76,6.70,7.10,7.40,1.95
Decode Duration (ms),5576.39,5551.52,5983.05,557639.36,5551.56,5553.47,5553.78,5555.67,5558.57,5564.41,5568.63,5583.14,5982.62,82.48
E2E Output Token Throughput (tokens/sec/user),19.36,18.21,19.60,1935.85,18.21,18.99,19.33,19.40,19.42,19.44,19.45,19.45,19.47,0.24
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.70,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.71
Effective Decode Throughput (tokens/sec),38.40,0.00,69.65,,,,,,45.43,,45.87,45.95,46.10,16.21
Effective Decode Throughput Per User (tokens/sec/user),19.20,0.00,34.83,,,,,,22.72,,22.93,22.98,23.05,8.11
Effective Latency (CO-aware) (ms),6564.00,6531.36,6980.29,656399.51,6531.73,6533.03,6533.69,6537.17,6544.36,6548.39,6561.98,6690.01,6980.02,86.21
Effective Prefill Concurrency,0.30,0.00,2.00,,,,,,0.00,,2.00,2.00,2.00,0.71
Effective Prefill Throughput (tokens/sec),156.06,0.00,1054.45,,,,,,0.00,,1044.12,1047.28,1051.60,371.66
Effective Prefill Throughput Per User (tokens/sec/user),78.09,0.00,527.32,,,,,,0.00,,522.06,523.64,525.80,185.94
Effective Total Throughput (tokens/sec),194.46,0.00,1054.45,,,,,,45.34,,1044.12,1047.28,1051.60,355.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.43,127.00,130.00,12943.00,127.00,129.00,129.00,129.00,129.00,130.00,130.00,130.00,130.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.04,0.52,5.46,103.85,0.53,0.54,0.55,0.59,1.06,1.15,1.29,2.14,5.19,0.77
HTTP Connection Overhead (ms),1.09,0.52,6.57,108.91,0.53,0.54,0.55,0.59,1.06,1.15,1.29,2.83,6.13,0.96
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.57,40.58,41.69,4157.47,40.97,41.54,41.56,41.57,41.59,41.61,41.62,41.63,41.67,0.12
HTTP Data Sent (KB),2.29,1.88,2.50,229.06,2.04,2.12,2.17,2.23,2.29,2.36,2.43,2.45,2.47,0.11
HTTP DNS Lookup (ms),0.05,0.00,1.57,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.25
HTTP Duration (excl. conn) (ms),6559.91,6524.92,6972.84,655990.77,6526.04,6529.29,6530.48,6533.40,6538.98,6545.45,6560.44,6688.76,6972.58,85.95
HTTP Receiving (ms),5737.71,5711.56,6148.15,573770.54,5712.14,5713.33,5713.92,5716.32,5718.96,5725.32,5733.50,5741.83,6147.32,83.59
HTTP Sending (ms),1.14,0.60,5.67,113.94,0.62,0.63,0.64,0.67,1.16,1.25,1.39,2.24,5.39,0.79
HTTP Total Time (ms),6561.00,6525.50,6973.76,656099.68,6527.12,6530.15,6531.11,6534.51,6540.19,6546.21,6561.74,6694.92,6973.46,86.10
HTTP Waiting (TTFB) (ms),821.06,810.18,949.87,82106.29,810.18,812.05,814.00,815.35,817.80,819.79,824.02,832.89,949.73,18.98
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),44.27,43.24,124.68,557639.36,43.41,43.51,43.58,43.74,43.93,44.23,44.67,45.28,55.75,2.22
Inter Token Latency (ms),44.27,43.73,47.48,4426.77,44.06,44.08,44.08,44.09,44.12,44.16,44.24,44.48,47.48,0.66
OSL Mismatch Diff % (%),-0.80,-1.56,0.00,-80.47,-1.56,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.77,0.17
Output Sequence Length (tokens),126.97,126.00,128.00,12697.00,126.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.01,0.22
Output Token Throughput Per User (tokens/sec/user),22.59,21.06,22.87,2259.45,21.06,22.48,22.61,22.64,22.67,22.68,22.69,22.69,22.70,0.31
Prefill Throughput Per User (tokens/sec/user),520.80,451.49,527.32,52080.45,451.97,513.56,516.02,521.12,522.97,524.19,525.43,526.19,527.23,10.42
Reasoning Token Count (tokens),126.97,126.00,128.00,12697.00,126.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.01,0.22
Request Latency (ms),6559.93,6524.95,6972.83,655993.48,6526.09,6529.32,6530.51,6533.44,6539.03,6545.48,6560.45,6688.83,6972.56,85.95
Time to First Token (ms),983.54,970.95,1134.03,98354.12,971.11,973.03,974.45,976.74,979.03,982.49,992.21,996.96,1132.81,22.34
Time to Second Token (ms),43.86,43.31,45.17,4386.50,43.31,43.37,43.41,43.51,43.76,44.13,44.47,44.98,45.14,0.45
Tokens In Flight (tokens),1132.03,0.00,1278.00,,,,,,1129.59,,1248.00,1262.00,1274.00,82.76

Metric,Value
Benchmark Duration (sec),328.08
Input Token Throughput (tokens/sec),156.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),38.70
Request Count,100.00
Request Throughput (requests/sec),0.30
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12697.00
Total Reasoning Tokens (tokens),12697.00
Total Token Throughput (tokens/sec),194.76


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
