Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),79.84,0.00,169.80,,,,,,69.29,,146.27,147.67,149.70,58.42
Active Decode Throughput Per User (tokens/sec/user),11.21,0.00,36.72,,,,,,11.64,,18.46,18.74,19.95,7.19
Active Prefill Throughput (tokens/sec),570.81,81.17,1171.98,,,,,,559.81,,806.74,884.29,1014.65,180.35
Active Prefill Throughput Per User (tokens/sec/user),321.13,81.17,589.44,,,,,,304.77,,491.34,515.79,561.76,104.22
Active Total Throughput (tokens/sec),395.89,19.08,1230.49,,,,,,409.73,,819.33,879.08,1014.65,301.60
Decode Duration (error-adjusted) (ms),,6655.60,,,6909.07,9356.69,10196.10,10470.66,10840.13,10998.40,11354.46,11416.41,,
Inter Token Latency (error-adjusted) (ms),,52.41,,,54.40,73.67,80.28,82.40,85.36,86.55,89.41,89.89,,
Request Latency (error-adjusted) (ms),,8699.25,,,8832.73,11706.84,11964.93,12309.59,12458.95,12706.01,12982.02,14890.57,,
Time to First Token (error-adjusted) (ms),,868.62,,,911.42,997.73,1063.66,1476.42,1676.29,2043.65,2447.51,4776.16,,
Credit-to-Start Latency (ms),2.64,0.61,9.14,263.51,0.78,1.18,1.29,1.78,2.47,3.06,3.73,4.46,8.60,1.33
Decode Duration (ms),10653.87,6655.60,11615.20,1044079.16,6901.46,9340.40,10189.05,10466.24,10806.62,10990.79,11313.73,11369.36,11569.53,792.89
E2E Output Token Throughput (tokens/sec/user),10.29,7.42,14.71,1008.82,7.75,9.32,9.87,10.08,10.27,10.39,10.70,10.98,14.50,0.90
Effective Concurrency,7.75,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.15
Effective Decode Concurrency,6.60,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.69
Effective Decode Throughput (tokens/sec),78.60,0.00,169.80,,,,,,68.12,,146.23,147.64,149.70,58.80
Effective Decode Throughput Per User (tokens/sec/user),11.03,0.00,36.72,,,,,,11.40,,18.45,18.74,19.95,7.27
Effective Latency (CO-aware) (ms),12259.43,3.75,17262.06,1225942.54,3.83,10853.51,11895.22,12233.49,12456.10,12667.86,12890.94,13589.25,16501.97,2032.78
Effective Prefill Concurrency,1.15,0.00,8.00,,,,,,1.00,,3.00,3.00,8.00,1.44
Effective Prefill Throughput (tokens/sec),317.28,0.00,1171.98,,,,,,327.72,,765.27,808.95,1014.65,313.88
Effective Prefill Throughput Per User (tokens/sec/user),178.50,0.00,589.44,,,,,,234.08,,404.48,491.84,561.76,177.47
Effective Total Throughput (tokens/sec),395.88,0.00,1230.49,,,,,,409.73,,819.33,879.08,1014.65,301.60
Error Input Sequence Length (tokens),512.00,512.00,512.00,1024.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.69,115.00,133.00,12906.00,127.61,131.00,131.00,132.00,132.00,132.00,132.00,132.00,133.00,1.79
HTTP Chunks Sent,1.00,1.00,1.00,98.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
