Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),41.94,0.00,93.83,,,,,,44.85,,45.97,46.09,46.36,4.51
Active Decode Throughput Per User (tokens/sec/user),41.94,0.00,93.83,,,,,,44.85,,45.97,46.09,46.36,4.51
Active Prefill Throughput (tokens/sec),440.73,330.49,460.72,,,,,,453.56,,457.19,457.86,458.44,20.69
Active Prefill Throughput Per User (tokens/sec/user),440.73,330.49,460.72,,,,,,453.56,,457.19,457.86,458.44,20.69
Active Total Throughput (tokens/sec),78.11,33.92,460.72,,,,,,45.08,,45.97,451.39,457.03,114.75
Credit-to-Start Latency (ms),0.04,0.00,0.99,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.32,0.68,0.15
Decode Duration (ms),2909.94,548.53,3744.46,290994.40,587.25,2045.05,2782.46,2784.47,2804.36,3307.60,3464.17,3493.00,3522.48,514.03
E2E Output Token Throughput (tokens/sec/user),38.59,24.60,42.11,3859.21,31.52,33.46,33.64,34.85,41.13,41.74,41.78,41.79,42.10,3.73
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.91,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.29
Effective Decode Throughput (tokens/sec),38.12,0.00,93.83,,,,,,43.58,,45.95,46.08,46.33,12.81
Effective Decode Throughput Per User (tokens/sec/user),38.12,0.00,93.83,,,,,,43.58,,45.95,46.08,46.33,12.81
Effective Latency (CO-aware) (ms),3200.85,881.23,4047.76,320085.00,896.37,2352.70,3061.76,3064.73,3084.45,3600.40,3764.31,3794.59,3824.13,512.32
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),39.95,0.00,460.72,,,,,,0.00,,0.00,451.39,457.03,126.69
Effective Prefill Throughput Per User (tokens/sec/user),39.95,0.00,460.72,,,,,,0.00,,0.00,451.39,457.03,126.69
Effective Total Throughput (tokens/sec),78.07,0.00,460.72,,,,,,45.08,,45.97,451.39,457.03,114.74
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.03,26.00,132.00,12703.00,31.94,92.60,131.00,131.00,132.00,132.00,132.00,132.00,132.00,17.88
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.41,0.29,4.10,41.06,0.30,0.30,0.32,0.34,0.36,0.37,0.39,0.42,1.77,0.40
HTTP Connection Overhead (ms),0.46,0.29,7.78,45.96,0.30,0.30,0.32,0.34,0.36,0.37,0.39,0.42,3.02,0.78
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),40.10,7.17,41.77,4010.38,9.39,28.98,41.50,41.59,41.63,41.66,41.68,41.70,41.74,5.80
HTTP Data Sent (KB),0.71,0.62,0.78,71.18,0.62,0.65,0.67,0.69,0.71,0.73,0.76,0.76,0.78,0.03
