Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),42.97,0.00,88.74,,,,,,43.89,,44.23,44.30,44.39,2.63
Active Decode Throughput Per User (tokens/sec/user),42.97,0.00,88.74,,,,,,43.89,,44.23,44.30,44.39,2.63
Active Prefill Throughput (tokens/sec),905.77,615.55,967.68,,,,,,961.01,,967.01,967.68,967.68,121.35
Active Prefill Throughput Per User (tokens/sec/user),905.77,615.55,967.68,,,,,,961.01,,967.01,967.68,967.68,121.35
Active Total Throughput (tokens/sec),186.60,38.38,967.68,,,,,,43.85,,960.66,963.09,967.68,325.20
Credit-to-Start Latency (ms),0.43,0.04,1.80,4.30,0.04,0.07,0.10,0.18,0.30,0.46,0.61,1.20,1.68,0.48
Decode Duration (ms),2827.38,1676.68,3308.57,28273.81,1785.94,2222.96,2769.25,2892.96,2895.97,2899.30,3048.95,3178.76,3282.61,403.15
E2E Output Token Throughput (tokens/sec/user),36.11,33.14,37.42,361.14,33.22,33.51,33.87,34.75,37.19,37.33,37.35,37.38,37.41,1.58
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.83,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),35.80,0.00,88.74,,,,,,43.81,,44.20,44.28,44.38,16.20
Effective Decode Throughput Per User (tokens/sec/user),35.80,0.00,88.74,,,,,,43.81,,44.20,44.28,44.38,16.20
Effective Latency (CO-aware) (ms),3395.85,2236.35,3862.34,33958.48,2342.98,2769.49,3302.64,3425.91,3429.20,3535.18,3739.32,3800.83,3850.03,413.17
Effective Prefill Concurrency,0.17,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),150.72,0.00,967.68,,,,,,0.00,,960.66,963.09,967.68,340.96
Effective Prefill Throughput Per User (tokens/sec/user),150.72,0.00,967.68,,,,,,0.00,,960.66,963.09,967.68,340.96
Effective Total Throughput (tokens/sec),186.52,0.00,967.68,,,,,,43.85,,960.66,963.09,967.68,325.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.50,79.00,132.00,1265.00,83.68,102.40,125.80,131.25,132.00,132.00,132.00,132.00,132.00,15.84
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.32,1.61,4.77,0.32,0.32,0.32,0.34,0.35,0.37,0.51,1.06,1.50,0.38
HTTP Connection Overhead (ms),0.59,0.32,2.70,5.86,0.32,0.32,0.32,0.34,0.35,0.37,0.62,1.66,2.49,0.71
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.92,24.55,41.71,399.23,26.08,32.20,39.85,41.58,41.61,41.67,41.70,41.70,41.70,5.12
HTTP Data Sent (KB),2.34,1.99,2.49,23.41,2.01,2.09,2.19,2.25,2.41,2.45,2.46,2.47,2.48,0.15
HTTP DNS Lookup (ms),0.11,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.60,0.99,0.33
HTTP Duration (excl. conn) (ms),3395.38,2236.16,3862.19,33953.79,2342.78,2769.26,3302.37,3425.63,3428.82,3534.67,3737.63,3799.91,3849.74,413.02
HTTP Receiving (ms),2935.71,1807.60,3424.83,29357.06,1914.26,2340.91,2874.23,2997.93,3000.39,3003.61,3157.71,3291.27,3398.12,397.17
HTTP Sending (ms),0.57,0.41,1.76,5.72,0.41,0.41,0.41,0.42,0.44,0.46,0.61,1.18,1.65,0.40
HTTP Total Time (ms),3395.97,2236.51,3862.54,33959.65,2343.13,2769.60,3302.69,3426.00,3429.15,3535.03,3740.09,3801.32,3850.29,413.21
HTTP Waiting (TTFB) (ms),459.10,427.10,717.76,4591.01,427.11,427.18,427.25,427.73,428.34,434.96,468.39,593.07,692.82,86.33
Input Sequence Length (tokens),512.00,512.00,512.00,5120.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),23.23,22.46,32.50,28273.81,22.52,22.57,22.60,22.67,22.76,22.88,25.84,26.15,28.23,1.32
Inter Token Latency (ms),23.23,22.66,26.05,232.27,22.67,22.70,22.75,22.78,22.81,22.94,24.01,25.03,25.85,0.99
OSL Mismatch Diff % (%),-4.22,-41.41,0.00,-42.19,-37.75,-23.12,-4.84,0.00,0.00,0.00,0.00,0.00,0.00,12.40
Output Sequence Length (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Count (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Throughput Per User (tokens/sec/user),43.13,38.39,44.13,431.26,38.72,40.04,41.68,43.58,43.83,43.90,43.95,44.04,44.12,1.68
Prefill Throughput Per User (tokens/sec/user),922.03,615.55,967.68,9220.26,643.38,754.72,893.90,939.55,961.66,964.98,967.08,967.38,967.62,103.14
Request Latency (ms),3392.65,2208.74,3862.19,33926.48,2317.83,2754.20,3299.66,3425.65,3428.84,3534.66,3737.64,3799.91,3849.73,420.73
Time to First Output Token (ms),565.27,529.10,831.78,5652.67,529.13,529.26,529.43,530.58,532.42,545.03,581.43,706.61,806.75,89.21
Time to First Token (ms),565.27,529.10,831.78,5652.67,529.13,529.26,529.43,530.58,532.42,545.03,581.43,706.61,806.75,89.21
Time to Second Token (ms),23.06,22.52,25.18,230.57,22.52,22.55,22.58,22.62,22.67,22.68,24.42,24.80,25.10,0.87
Tokens In Flight (tokens),563.84,0.00,640.00,,,,,,561.00,,623.00,631.06,638.00,42.31

Metric,Value
Benchmark Duration (sec),33.97
Input Token Throughput (tokens/sec),150.72
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),36.09
Request Count,10.00
Request Throughput (requests/sec),0.29
Total Input Sequence Length (tokens),5120.00
Total Output Sequence Length (tokens),1226.00
Total Output Tokens (tokens),1226.00
Total Token Throughput (tokens/sec),186.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
