Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),59.51,0.00,104.36,,,,,,79.62,,80.70,81.38,82.60,31.70
Active Decode Throughput Per User (tokens/sec/user),16.01,0.00,77.88,,,,,,19.93,,20.26,20.61,36.63,7.83
Active Prefill Throughput (tokens/sec),778.87,266.34,1100.51,,,,,,899.56,,995.72,1086.88,1100.51,209.86
Active Prefill Throughput Per User (tokens/sec/user),374.60,266.34,621.24,,,,,,315.05,,557.22,585.08,621.24,109.65
Active Total Throughput (tokens/sec),295.61,18.19,1100.51,,,,,,71.77,,946.98,975.79,1086.88,355.11
Credit-to-Start Latency (ms),0.41,0.10,1.08,40.81,0.11,0.14,0.17,0.24,0.38,0.51,0.65,0.98,1.04,0.22
Decode Duration (ms),7036.86,2609.36,7900.66,703685.66,6354.42,6808.17,6869.15,6954.11,6969.60,6990.10,7639.84,7693.35,7756.40,546.35
E2E Output Token Throughput (tokens/sec/user),14.82,12.09,15.47,1481.83,14.31,14.43,14.50,14.75,14.85,14.94,15.11,15.29,15.46,0.37
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.16
Effective Decode Concurrency,3.26,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.22
Effective Decode Throughput (tokens/sec),58.48,0.00,104.36,,,,,,79.60,,80.69,81.34,82.59,32.37
Effective Decode Throughput Per User (tokens/sec/user),15.73,0.00,77.88,,,,,,19.93,,20.25,20.60,36.61,8.04
Effective Latency (CO-aware) (ms),8584.30,4525.87,8928.53,858430.15,8239.64,8331.43,8444.09,8566.38,8618.63,8678.67,8827.52,8863.50,8882.58,430.63
Effective Prefill Concurrency,0.72,0.00,4.00,,,,,,0.00,,3.00,3.00,4.00,1.22
Effective Prefill Throughput (tokens/sec),237.13,0.00,1100.51,,,,,,0.00,,930.39,959.32,1086.88,376.66
Effective Prefill Throughput Per User (tokens/sec/user),114.05,0.00,621.24,,,,,,0.00,,406.59,529.34,587.40,182.69
Effective Total Throughput (tokens/sec),295.61,0.00,1100.51,,,,,,71.77,,946.98,975.79,1086.88,355.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.12,58.00,133.00,13112.00,127.30,131.00,131.00,132.00,132.00,132.00,132.10,133.00,133.00,7.38
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.46,0.31,2.19,46.34,0.33,0.34,0.36,0.38,0.40,0.42,0.44,0.50,1.98,0.32
HTTP Connection Overhead (ms),0.52,0.31,3.65,51.78,0.33,0.34,0.36,0.38,0.40,0.42,0.44,0.50,3.35,0.58
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.37,17.78,41.76,4137.08,40.06,41.52,41.57,41.60,41.63,41.65,41.68,41.70,41.75,2.38
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.05,0.00,1.46,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.27
HTTP Duration (excl. conn) (ms),8583.85,4524.76,8927.89,858384.70,8238.54,8330.95,8443.33,8565.84,8618.30,8678.38,8827.11,8863.29,8881.89,430.71
HTTP Receiving (ms),7320.87,2900.92,8171.33,732086.85,6577.08,7087.89,7130.70,7247.98,7263.34,7291.71,7912.27,7962.80,8025.80,545.04
HTTP Sending (ms),0.57,0.40,2.36,57.04,0.41,0.45,0.46,0.48,0.50,0.52,0.55,0.68,2.15,0.33
HTTP Total Time (ms),8584.36,4525.09,8928.28,858436.48,8241.86,8331.47,8443.89,8566.28,8618.68,8678.78,8827.46,8863.73,8882.28,430.64
HTTP Waiting (TTFB) (ms),1262.41,551.66,1659.70,126240.80,553.08,641.19,688.58,1239.93,1352.56,1415.75,1623.38,1630.29,1659.68,321.33
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),55.76,24.31,1284.30,703685.66,38.47,48.74,49.28,49.73,49.99,50.31,50.83,62.94,91.25,61.08
Inter Token Latency (ms),55.69,49.23,62.21,5569.11,50.32,53.61,54.05,54.69,54.88,55.11,60.16,60.58,61.07,2.58
OSL Mismatch Diff % (%),-0.57,-57.81,1.56,-57.03,-1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,5.76
Output Sequence Length (tokens),127.27,54.00,130.00,12727.00,126.27,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.01,7.37
Output Token Count (tokens),127.27,54.00,130.00,12727.00,126.27,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.01,7.37
Output Token Throughput Per User (tokens/sec/user),17.99,16.07,20.31,1799.39,16.37,16.51,16.62,18.15,18.22,18.29,18.50,18.66,19.87,0.82
Prefill Throughput Per User (tokens/sec/user),351.53,266.34,621.24,35152.63,267.16,268.81,270.36,299.39,310.75,334.98,533.88,561.91,619.28,99.04
Request Latency (ms),8583.26,4466.49,8927.90,858326.22,8237.99,8330.96,8443.37,8565.86,8618.30,8678.28,8827.12,8863.30,8881.90,436.21
Time to First Output Token (ms),1546.41,824.16,1922.39,154640.56,826.77,911.18,959.22,1528.46,1647.63,1710.12,1893.76,1904.69,1916.42,324.61
Time to First Token (ms),1546.41,824.16,1922.39,154640.56,826.77,911.18,959.22,1528.46,1647.63,1710.12,1893.76,1904.69,1916.42,324.61
Time to Second Token (ms),50.08,48.86,55.00,5007.65,48.90,48.98,49.36,49.73,49.88,50.02,50.52,51.96,54.97,1.12
Tokens In Flight (tokens),2244.38,0.00,2557.00,,,,,,2231.00,,2436.00,2472.00,2501.00,136.63

Metric,Value
Benchmark Duration (sec),215.92
Input Token Throughput (tokens/sec),237.13
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),58.94
Request Count,100.00
Request Throughput (requests/sec),0.46
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12727.00
Total Output Tokens (tokens),12727.00
Total Token Throughput (tokens/sec),296.07


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
